ID,losses,accuracies,best_train_accuracy,best_dev_accuracy,best_test_accuracy,model_name,model,runtime,PID,timestamp
0,"[5977.950645927327, 5461.972178236001, 4861.575277881117, 4669.495529074763, 4439.430890989783, 4135.758750841334, 4409.863920106332, 4484.678303692359, 4052.350876153375, 4056.8405543078024, 3624.2083939394797, 3926.473820216328, 3919.3038041162945, 3762.1911008613115, 3817.0196734816323, 3785.958652609709, 3815.3582815222617, 3570.350228053812, 3522.0317687593524, 3479.5778446613695, 3406.6031847475306, 3193.4341737181876, 3296.9425870985433, 3302.1107775990386, 3326.60187542564, 3126.4733729296313, 2986.869479503094, 3055.4618534661554, 3041.295136406163, 2962.764348245918, 2958.284992263827, 2941.563966406158, 3017.983184125078, 2916.080012731003, 2743.651221877386, 2667.9304782764157, 2916.8043837694568, 2741.9562731286533, 2643.096710320904, 2532.243833208148, 2513.2227846191413, 2750.2543265043532, 2709.9118913864186, 2395.833102563236, 2439.790586776955, 2377.3487368461138, 2495.266367042802, 2327.585711462597, 2416.503604753916, 2372.0587651562782, 2458.1369062502895, 2159.275599754615, 2206.963330882629, 2165.397746856511, 2241.489877876804, 2209.928309677598, 2153.573620526404, 2330.9748491748633, 2127.717049651161, 2224.751656893142]","[0.2061762034514078, 0.21889191643960038, 0.23433242506811988, 0.22979109900090827, 0.23433242506811988, 0.23796548592188918, 0.24250681198910082, 0.24341507720254316, 0.24432334241598547, 0.2488646684831971, 0.24977293369663942, 0.24977293369663942, 0.2488646684831971, 0.25340599455040874, 0.25340599455040874, 0.2579473206176203, 0.26248864668483196, 0.25885558583106266, 0.26612170753860126, 0.2652134423251589, 0.26793823796548594, 0.26248864668483196, 0.26975476839237056, 0.2688465031789282, 0.26975476839237056, 0.2742960944595822, 0.27520435967302453, 0.27974568574023617, 0.2779291553133515, 0.27883742052679383, 0.27974568574023617, 0.27702089009990916, 0.2815622161671208, 0.2761126248864669, 0.2761126248864669, 0.28065395095367845, 0.28247048138056313, 0.28247048138056313, 0.28247048138056313, 0.28065395095367845, 0.28065395095367845, 0.28247048138056313, 0.28337874659400547, 0.28065395095367845, 0.28610354223433243, 0.2888283378746594, 0.28973660308810173, 0.28701180744777477, 0.28973660308810173, 0.2851952770208901, 0.2924613987284287, 0.296094459582198, 0.29791099000908267, 0.2924613987284287, 0.29064486830154407, 0.29791099000908267, 0.29427792915531337, 0.2924613987284287, 0.29336966394187103, 0.296094459582198]",0.4088249063670412,0.29791099000908267,0.27828054298642535,BOW,"BOW(
  (embed): Embedding(20727, 5)
)",9.903743982315063,62980,2024-12-10 13:43:17.228301
1,"[5185.628561510991, 5013.537986567235, 4917.804464674064, 4661.784834791775, 4473.787229042621, 4569.919974924887, 4336.864959721328, 4526.009468822141, 4019.6900397880963, 4344.599436961249, 3882.24667916627, 3858.4072964678453, 3826.200288728309, 4021.582538646704, 3828.9843997151766, 4048.241620738301, 3853.9000817433835, 3529.0055572776237, 3624.259258153818, 3533.7020864192127, 3498.8751729157884, 3621.3755736511375, 3498.355318139457, 3372.520138584172, 3187.202736852999, 3158.6962904622924, 3206.2861610421305, 3088.848150565447, 2877.0967246451055, 3086.320710781234, 3050.0359027052864, 3173.2995890579905, 3087.476330584752, 3011.5120630498527, 2919.8124373295536, 2894.3484604738314, 2835.497909263635, 2666.501333121956, 2779.8052998763524, 2800.2863554762152, 2612.75087856314, 2542.318173067859, 2743.917618017693, 2598.8936415074277, 2537.440986737187, 2483.845585799339, 2530.0476792837, 2335.639044952506, 2454.8731085638206, 2463.1684716205255, 2494.676749867416, 2264.957106913178, 2366.9286334898698, 2263.9064740500944, 2189.2839635167984, 2263.926344454354, 2239.394531868881, 2228.8385782930163, 2210.6404057727423, 2217.87687437941]","[0.21071752951861944, 0.21707538601271573, 0.21889191643960038, 0.22343324250681199, 0.22979109900090827, 0.22979109900090827, 0.23160762942779292, 0.23342415985467757, 0.23433242506811988, 0.23524069028156222, 0.23705722070844687, 0.24341507720254316, 0.23796548592188918, 0.23614895549500453, 0.23705722070844687, 0.23887375113533152, 0.23887375113533152, 0.24069028156221617, 0.24069028156221617, 0.23887375113533152, 0.24250681198910082, 0.24250681198910082, 0.23978201634877383, 0.24613987284287012, 0.25158946412352406, 0.2561307901907357, 0.2561307901907357, 0.25158946412352406, 0.25703905540417804, 0.2615803814713896, 0.2615803814713896, 0.2633969118982743, 0.26067211625794734, 0.26430517711171664, 0.26612170753860126, 0.26612170753860126, 0.2742960944595822, 0.27157129881925524, 0.27702089009990916, 0.27520435967302453, 0.27883742052679383, 0.27974568574023617, 0.2815622161671208, 0.27702089009990916, 0.2815622161671208, 0.2851952770208901, 0.28247048138056313, 0.28610354223433243, 0.28610354223433243, 0.2851952770208901, 0.2851952770208901, 0.28792007266121705, 0.28701180744777477, 0.28701180744777477, 0.28428701180744775, 0.2851952770208901, 0.28701180744777477, 0.28428701180744775, 0.2888283378746594, 0.28247048138056313]",0.4157303370786517,0.2888283378746594,0.28009049773755657,BOW,"BOW(
  (embed): Embedding(20727, 5)
)",9.70318078994751,62980,2024-12-10 13:43:26.934195
2,"[5172.475369207233, 4849.539082140738, 4895.011872750785, 5006.7065671410455, 4699.1330115320425, 4669.158348043593, 4223.516076710041, 4582.043352619576, 4422.082479592719, 4487.154365033333, 4115.662348514397, 3919.6440000514212, 3893.500374163857, 4023.4896078224256, 3944.4459522410175, 3869.9230436903326, 3929.0379144573963, 3707.6409759354724, 3711.392417196733, 3531.852075164694, 3395.481245434001, 3513.1297658021795, 3598.6613910895185, 3487.8338025510384, 3370.616637810128, 3367.4267295003847, 3192.4481433903566, 3174.786021720094, 3167.2834353084427, 3064.809571197303, 2974.6285717992832, 3228.8230200160797, 3146.3279098553176, 2945.9330846917255, 2875.732951029513, 2859.8747155295696, 2824.2435418353452, 2826.4558475157355, 2638.972911677277, 2916.62251929582, 2856.7447161627633, 2611.965231492737, 2777.783053945721, 2480.2524829666945, 2530.771181041062, 2607.880711742382, 2529.706214562244, 2512.347326766121, 2529.572347589303, 2498.374972131958, 2391.027787616089, 2404.5397152680125, 2333.232928644211, 2216.827576229587, 2324.931345241952, 2224.9810215084617, 2242.767715609114, 2346.1949489769013, 2351.351354465579, 2089.553750173669]","[0.18619436875567666, 0.20345140781108084, 0.19981834695731154, 0.20072661217075385, 0.20345140781108084, 0.2025431425976385, 0.20799273387829245, 0.20435967302452315, 0.20435967302452315, 0.20708446866485014, 0.20435967302452315, 0.20708446866485014, 0.2089009990917348, 0.2089009990917348, 0.21435059037238874, 0.21798365122615804, 0.22070844686648503, 0.22524977293369663, 0.22888283378746593, 0.22888283378746593, 0.22888283378746593, 0.23160762942779292, 0.22888283378746593, 0.23160762942779292, 0.23342415985467757, 0.23796548592188918, 0.23887375113533152, 0.24069028156221617, 0.23796548592188918, 0.23796548592188918, 0.23705722070844687, 0.23887375113533152, 0.24250681198910082, 0.24069028156221617, 0.2452316076294278, 0.2452316076294278, 0.24704813805631246, 0.24250681198910082, 0.24704813805631246, 0.2488646684831971, 0.24795640326975477, 0.24977293369663942, 0.254314259763851, 0.254314259763851, 0.2524977293369664, 0.254314259763851, 0.2561307901907357, 0.25522252497729336, 0.26067211625794734, 0.25885558583106266, 0.25703905540417804, 0.259763851044505, 0.26248864668483196, 0.2633969118982743, 0.2615803814713896, 0.2633969118982743, 0.2615803814713896, 0.26612170753860126, 0.2633969118982743, 0.2633969118982743]",0.4066011235955056,0.26612170753860126,0.27828054298642535,BOW,"BOW(
  (embed): Embedding(20727, 5)
)",9.88076901435852,62980,2024-12-10 13:43:36.816240
3,"[2639.507994663436, 2344.52679839707, 2107.130946966354, 1983.8815307375044, 1954.4598709456623, 1899.6970612357836, 1931.9068398550153, 1895.447044685483, 1690.7504895050079, 1598.9316182206385]","[0.25522252497729336, 0.24159854677565848, 0.27338782924613986, 0.2688465031789282, 0.27520435967302453, 0.28610354223433243, 0.3024523160762943, 0.2997275204359673, 0.3106267029972752, 0.3097184377838329]",0.4226357677902622,0.3106267029972752,0.3226244343891403,CBOW,"CBOW(
  (embed): Embedding(20727, 300)
  (linear): Linear(in_features=300, out_features=5, bias=True)
)",75.35264301300049,62980,2024-12-10 13:44:52.220227
4,"[2680.8330654900055, 2305.7299849248957, 2115.5254049040377, 2032.16512377467, 1935.7590073961765, 1948.330059660133, 1877.352017535828, 1925.3748821513727, 1711.9944385802373, 1578.9740563151427]","[0.26430517711171664, 0.254314259763851, 0.2652134423251589, 0.26612170753860126, 0.29155313351498635, 0.32334241598546776, 0.3115349682107175, 0.29155313351498635, 0.33060853769300635, 0.32334241598546776]",0.4178370786516854,0.33060853769300635,0.31266968325791855,CBOW,"CBOW(
  (embed): Embedding(20727, 300)
  (linear): Linear(in_features=300, out_features=5, bias=True)
)",74.81657218933105,62980,2024-12-10 13:46:07.087620
5,"[2709.116851009894, 2289.1625768244267, 2083.9583146665245, 2011.7482746365713, 1942.5496455840766, 1984.4971501231194, 1869.438960853964, 1863.0178592968732, 1723.3549812114798, 1574.3229300403036]","[0.24341507720254316, 0.25703905540417804, 0.25703905540417804, 0.27157129881925524, 0.27883742052679383, 0.298819255222525, 0.28247048138056313, 0.2924613987284287, 0.3069936421435059, 0.3042688465031789]",0.41151685393258425,0.3069936421435059,0.3036199095022624,CBOW,"CBOW(
  (embed): Embedding(20727, 300)
  (linear): Linear(in_features=300, out_features=5, bias=True)
)",76.24087285995483,62980,2024-12-10 13:47:23.381737
6,"[1507.0588151216507, 1379.7948234677315, 1330.8947325348854, 1339.478797197342, 1310.095038473606, 1320.6935816705227, 1280.6801002919674, 1303.8402793258429, 1165.8313083052635, 1117.2320957034826]","[0.371480472297911, 0.3869209809264305, 0.40236148955495005, 0.3960036330608538, 0.4396003633060854, 0.4323342415985468, 0.42415985467756584, 0.410535876475931, 0.4250681198910082, 0.40417801998183467]",0.49414794007490637,0.4396003633060854,0.41809954751131223,DeepCBOW,"DeepCBOW(
  (embed): Embedding(20727, 300)
  (output_layer): Sequential(
    (0): Linear(in_features=300, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=5, bias=True)
  )
)",80.3962550163269,62980,2024-12-10 13:48:43.840800
7,"[1515.621892541647, 1396.4123020768166, 1329.634816274047, 1323.8791039139032, 1295.5131966918707, 1307.7730703651905, 1296.796477586031, 1303.731450676918, 1251.5501875281334, 1080.7283151298761]","[0.35240690281562215, 0.36693914623069934, 0.41689373297002724, 0.4296094459582198, 0.4087193460490463, 0.40236148955495005, 0.4232515894641235, 0.39872842870118075, 0.4296094459582198, 0.4287011807447775]",0.48092228464419473,0.4296094459582198,0.42036199095022625,DeepCBOW,"DeepCBOW(
  (embed): Embedding(20727, 300)
  (output_layer): Sequential(
    (0): Linear(in_features=300, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=5, bias=True)
  )
)",79.99566698074341,62980,2024-12-10 13:50:03.889058
8,"[1476.0494316220284, 1407.2749241888523, 1373.0204011797905, 1320.2090108692646, 1332.956740885973, 1296.8832446038723, 1265.4963216781616, 1288.9771052896976, 1217.0157826542854, 1085.8682539239526]","[0.34877384196185285, 0.41326067211625794, 0.3823796548592189, 0.3823796548592189, 0.4187102633969119, 0.3996366939146231, 0.4114441416893733, 0.3923705722070845, 0.43142597638510444, 0.371480472297911]",0.5369850187265918,0.43142597638510444,0.4294117647058823,DeepCBOW,"DeepCBOW(
  (embed): Embedding(20727, 300)
  (output_layer): Sequential(
    (0): Linear(in_features=300, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=5, bias=True)
  )
)",85.512864112854,62980,2024-12-10 13:51:29.455960
9,"[1574.910077393055, 1442.7198294103146, 1400.4791805446148, 1381.903914988041, 1366.910791426897, 1349.822738200426, 1311.009443730116, 1333.6189117729664, 1317.8135432600975, 1318.2372323572636, 1281.5027354061604, 1270.96680213511, 1284.8437058478594, 1257.989347934723, 1284.0036690235138, 1221.4247632622719, 1253.5269064754248, 1220.5884233117104, 1212.2453997284174, 1206.6097860783339, 1196.5733004808426, 1186.947963371873, 1225.352182969451, 1205.7370128557086, 1218.205721244216, 1224.0960816927254, 1143.269746400416, 1149.186889514327, 1154.8523002564907, 1124.6878403015435]","[0.3496821071752952, 0.3960036330608538, 0.38419618528610355, 0.4141689373297003, 0.3941871026339691, 0.4268846503178928, 0.39872842870118075, 0.38782924613987285, 0.4250681198910082, 0.3823796548592189, 0.42415985467756584, 0.4396003633060854, 0.4069028156221617, 0.43142597638510444, 0.4187102633969119, 0.4268846503178928, 0.44504995458673935, 0.43505903723887374, 0.45322434150772023, 0.43778383287920075, 0.45685740236148953, 0.45776566757493187, 0.4514078110808356, 0.4368755676657584, 0.45049954586739327, 0.46866485013623976, 0.4713896457765668, 0.44141689373297005, 0.45322434150772023, 0.4623069936421435]",0.5104166666666666,0.4713896457765668,0.4457013574660634,LSTMClassifier,"LSTMClassifier(
  (embed): Embedding(20727, 300, padding_idx=1)
  (rnn): MyLSTMCell(300, 168)
  (output_layer): Sequential(
    (0): Dropout(p=0.5, inplace=False)
    (1): Linear(in_features=168, out_features=5, bias=True)
  )
)",224.99069809913635,62980,2024-12-10 13:55:14.508807
