Model,Seed,Bin,Accuracy
BOW,0,1-5,0.20833333333333334
BOW,0,6-10,0.3138888888888889
BOW,0,11-15,0.29925187032418954
BOW,0,16-20,0.2639821029082774
BOW,0,21-25,0.285
BOW,0,26-30,0.2581818181818182
BOW,0,>30,0.25098039215686274
CBOW,0,1-5,0.3611111111111111
CBOW,0,6-10,0.3194444444444444
CBOW,0,11-15,0.32418952618453867
CBOW,0,16-20,0.30648769574944074
CBOW,0,21-25,0.3
CBOW,0,26-30,0.3709090909090909
CBOW,0,>30,0.3254901960784314
Deep CBOW,0,1-5,0.4583333333333333
Deep CBOW,0,6-10,0.48055555555555557
Deep CBOW,0,11-15,0.42643391521197005
Deep CBOW,0,16-20,0.44742729306487694
Deep CBOW,0,21-25,0.3525
Deep CBOW,0,26-30,0.38181818181818183
Deep CBOW,0,>30,0.396078431372549
LSTM,0,1-5,0.4027777777777778
LSTM,0,6-10,0.5194444444444445
LSTM,0,11-15,0.428927680798005
LSTM,0,16-20,0.46308724832214765
LSTM,0,21-25,0.4175
LSTM,0,26-30,0.4
LSTM,0,>30,0.44313725490196076
Tree LSTM,0,1-5,0.4444444444444444
Tree LSTM,0,6-10,0.5083333333333333
Tree LSTM,0,11-15,0.48129675810473815
Tree LSTM,0,16-20,0.4854586129753915
Tree LSTM,0,21-25,0.44
Tree LSTM,0,26-30,0.43272727272727274
Tree LSTM,0,>30,0.4823529411764706
BOW,1,1-5,0.3055555555555556
BOW,1,6-10,0.2722222222222222
BOW,1,11-15,0.24937655860349128
BOW,1,16-20,0.2684563758389262
BOW,1,21-25,0.2875
BOW,1,26-30,0.33454545454545453
BOW,1,>30,0.2823529411764706
CBOW,1,1-5,0.19444444444444445
CBOW,1,6-10,0.3194444444444444
CBOW,1,11-15,0.30423940149625933
CBOW,1,16-20,0.3288590604026846
CBOW,1,21-25,0.3225
CBOW,1,26-30,0.33090909090909093
CBOW,1,>30,0.28627450980392155
Deep CBOW,1,1-5,0.4583333333333333
Deep CBOW,1,6-10,0.4444444444444444
Deep CBOW,1,11-15,0.4314214463840399
Deep CBOW,1,16-20,0.43847874720357943
Deep CBOW,1,21-25,0.3625
Deep CBOW,1,26-30,0.44727272727272727
Deep CBOW,1,>30,0.38823529411764707
LSTM,1,1-5,0.3888888888888889
LSTM,1,6-10,0.5111111111111111
LSTM,1,11-15,0.43640897755610975
LSTM,1,16-20,0.49440715883668906
LSTM,1,21-25,0.4425
LSTM,1,26-30,0.4254545454545455
LSTM,1,>30,0.48627450980392156
Tree LSTM,1,1-5,0.4444444444444444
Tree LSTM,1,6-10,0.49722222222222223
Tree LSTM,1,11-15,0.4688279301745636
Tree LSTM,1,16-20,0.48769574944071586
Tree LSTM,1,21-25,0.4125
Tree LSTM,1,26-30,0.4581818181818182
Tree LSTM,1,>30,0.4588235294117647
BOW,2,1-5,0.25
BOW,2,6-10,0.2861111111111111
BOW,2,11-15,0.29177057356608477
BOW,2,16-20,0.2371364653243848
BOW,2,21-25,0.315
BOW,2,26-30,0.24727272727272728
BOW,2,>30,0.30196078431372547
CBOW,2,1-5,0.3055555555555556
CBOW,2,6-10,0.30277777777777776
CBOW,2,11-15,0.2942643391521197
CBOW,2,16-20,0.33109619686800895
CBOW,2,21-25,0.315
CBOW,2,26-30,0.3018181818181818
CBOW,2,>30,0.2549019607843137
Deep CBOW,2,1-5,0.5
Deep CBOW,2,6-10,0.4305555555555556
Deep CBOW,2,11-15,0.4339152119700748
Deep CBOW,2,16-20,0.4608501118568233
Deep CBOW,2,21-25,0.42
Deep CBOW,2,26-30,0.4036363636363636
Deep CBOW,2,>30,0.38823529411764707
LSTM,2,1-5,0.4166666666666667
LSTM,2,6-10,0.5277777777777778
LSTM,2,11-15,0.4463840399002494
LSTM,2,16-20,0.5190156599552572
LSTM,2,21-25,0.44
LSTM,2,26-30,0.4254545454545455
LSTM,2,>30,0.4745098039215686
Tree LSTM,2,1-5,0.4722222222222222
Tree LSTM,2,6-10,0.5055555555555555
Tree LSTM,2,11-15,0.47381546134663344
Tree LSTM,2,16-20,0.47651006711409394
Tree LSTM,2,21-25,0.4375
Tree LSTM,2,26-30,0.44727272727272727
Tree LSTM,2,>30,0.45098039215686275
